demographic,subgroup,classification,term,tfidf_score
GENDER,Male,Correct,hospice,139.0758579967593
GENDER,Male,Correct,peg,77.36470888564317
GENDER,Male,Correct,carvedilol,60.50702912846022
GENDER,Male,Correct,disc,60.50702912846022
GENDER,Male,Correct,hemodialysis,56.89466918049245
GENDER,Male,Correct,esrd,56.89466918049245
GENDER,Male,Correct,actinic,41.241109405965425
GENDER,Male,Correct,nph,40.63904941463746
GENDER,Male,Correct,declined,39.133899436317556
GENDER,Male,Correct,minimized,38.832869440653575
GENDER,Male,Correct,showing,37.62874945799765
GENDER,Male,Correct,stones,36.424629475341725
GENDER,Male,Correct,novolog,36.12359947967774
GENDER,Male,Correct,hypoglycemia,35.82256948401376
GENDER,Male,Correct,bipap,35.52153948834978
GENDER,Male,Correct,protection,35.52153948834978
GENDER,Male,Correct,multifocal,34.91947949702182
GENDER,Male,Correct,warfarin,34.016389510029875
GENDER,Male,Correct,jean,34.016389510029875
GENDER,Male,Correct,video,31.909179540382006
GENDER,Male,Incorrect,healthcare,0
GENDER,Male,Incorrect,caller,0
GENDER,Male,Incorrect,patient,0
GENDER,Male,Incorrect,information,0
GENDER,Male,Incorrect,obtained,0
GENDER,Male,Incorrect,s,0
GENDER,Male,Incorrect,please,0
GENDER,Male,Incorrect,describe,0
GENDER,Male,Incorrect,need,0
GENDER,Male,Incorrect,clinic,0
GENDER,Male,Incorrect,staff,0
GENDER,Male,Incorrect,can,0
GENDER,Male,Incorrect,best,0
GENDER,Male,Incorrect,help,0
GENDER,Male,Incorrect,mr,0
GENDER,Male,Incorrect,stated,0
GENDER,Male,Incorrect,taking,0
GENDER,Male,Incorrect,trulicity,0
GENDER,Male,Incorrect,expensive,0
GENDER,Male,Incorrect,stopped,0
GENDER,Female,Correct,hydralazine,76.46161889865122
GENDER,Female,Correct,esrd,74.65543892466734
GENDER,Female,Correct,cystitis,64.42041907209197
GENDER,Female,Correct,ou,61.10908911978818
GENDER,Female,Correct,transplant,54.78745921084458
GENDER,Female,Correct,hydronephrosis,52.07818924986875
GENDER,Female,Correct,comorbidity,46.65964932791709
GENDER,Female,Correct,doppler,44.8534693539332
GENDER,Female,Correct,montelukast,38.23080944932561
GENDER,Female,Correct,singulair,38.23080944932561
GENDER,Female,Correct,graft,37.92977945366163
GENDER,Female,Correct,hemodialysis,37.32771946233367
GENDER,Female,Correct,danilova,37.32771946233367
GENDER,Female,Correct,svetlana,37.02668946666969
GENDER,Female,Correct,charles,36.12359947967774
GENDER,Female,Correct,zyprexa,35.82256948401376
GENDER,Female,Correct,og,34.61844950135784
GENDER,Female,Correct,deg,34.016389510029875
GENDER,Female,Correct,laceration,33.11329952303793
GENDER,Female,Correct,doxycycline,32.81226952737395
GENDER,Female,Incorrect,musc,0
GENDER,Female,Incorrect,physicians,0
GENDER,Female,Incorrect,primary,0
GENDER,Female,Incorrect,care,0
GENDER,Female,Incorrect,west,0
GENDER,Female,Incorrect,ashley,0
GENDER,Female,Incorrect,m,0
GENDER,Female,Incorrect,greene,0
GENDER,Female,Incorrect,_lgnum_,0
GENDER,Female,Incorrect,date,0
GENDER,Female,Incorrect,chief,0
GENDER,Female,Incorrect,complaint,0
GENDER,Female,Incorrect,patient,0
GENDER,Female,Incorrect,presents,0
GENDER,Female,Incorrect,o,0
GENDER,Female,Incorrect,memory,0
GENDER,Female,Incorrect,loss,0
GENDER,Female,Incorrect,pt,0
GENDER,Female,Incorrect,s,0
GENDER,Female,Incorrect,states,0
RACE,White,Correct,cystitis,62.61423909810809
RACE,White,Correct,esrd,58.39981915881235
RACE,White,Correct,zyprexa,51.47612925854079
RACE,White,Correct,papules,49.06788929322894
RACE,White,Correct,hemodialysis,47.56273931490903
RACE,White,Correct,sacral,42.44522938862135
RACE,White,Correct,pvr,38.53183944498959
RACE,White,Correct,olanzapine,37.92977945366163
RACE,White,Correct,bipap,35.52153948834978
RACE,White,Correct,ergocalciferol,34.016389510029875
RACE,White,Correct,ou,33.71535951436589
RACE,White,Correct,facet,33.41432951870191
RACE,White,Correct,montelukast,33.11329952303793
RACE,White,Correct,humerus,33.11329952303793
RACE,White,Correct,cd,32.21020953604599
RACE,White,Correct,nedervelt,32.21020953604599
RACE,White,Correct,vldl,31.909179540382006
RACE,White,Correct,lvef,31.608149544718025
RACE,White,Correct,dist,31.608149544718025
RACE,White,Correct,prominence,31.307119549054043
RACE,White,Incorrect,pt,0
RACE,White,Incorrect,lying,0
RACE,White,Incorrect,bed,0
RACE,White,Incorrect,sleeping,0
RACE,White,Incorrect,arouses,0
RACE,White,Incorrect,voice,0
RACE,White,Incorrect,room,0
RACE,White,Incorrect,air,0
RACE,White,Incorrect,signs,0
RACE,White,Incorrect,respiratory,0
RACE,White,Incorrect,distress,0
RACE,White,Incorrect,pain,0
RACE,White,Incorrect,fall,0
RACE,White,Incorrect,precautions,0
RACE,White,Incorrect,maintained,0
RACE,White,Incorrect,door,0
RACE,White,Incorrect,left,0
RACE,White,Incorrect,open,0
RACE,White,Incorrect,continuous,0
RACE,White,Incorrect,observation,0
HISPANIC,Non-Hispanic,Correct,esrd,131.55010810515978
HISPANIC,Non-Hispanic,Correct,hemodialysis,94.22238864282612
HISPANIC,Non-Hispanic,Correct,ou,70.74204898103558
HISPANIC,Non-Hispanic,Correct,cd,54.18539921951662
HISPANIC,Non-Hispanic,Correct,montelukast,54.18539921951662
HISPANIC,Non-Hispanic,Correct,singulair,52.98127923686069
HISPANIC,Non-Hispanic,Correct,papules,52.37921924553273
HISPANIC,Non-Hispanic,Correct,pvr,50.27200927588486
HISPANIC,Non-Hispanic,Correct,kevin,47.56273931490903
HISPANIC,Non-Hispanic,Correct,american,47.26170931924505
HISPANIC,Non-Hispanic,Correct,apresoline,46.358619332253106
HISPANIC,Non-Hispanic,Correct,query,44.25140936260524
HISPANIC,Non-Hispanic,Correct,straining,41.241109405965425
HISPANIC,Non-Hispanic,Correct,restraints,40.63904941463746
HISPANIC,Non-Hispanic,Correct,miranda,40.63904941463746
HISPANIC,Non-Hispanic,Correct,picc,40.33801941897348
HISPANIC,Non-Hispanic,Correct,humerus,38.832869440653575
HISPANIC,Non-Hispanic,Correct,dist,38.53183944498959
HISPANIC,Non-Hispanic,Correct,guaifenesin,38.23080944932561
HISPANIC,Non-Hispanic,Correct,facet,37.62874945799765
HISPANIC,Non-Hispanic,Incorrect,healthcare,0
HISPANIC,Non-Hispanic,Incorrect,caller,0
HISPANIC,Non-Hispanic,Incorrect,patient,0
HISPANIC,Non-Hispanic,Incorrect,information,0
HISPANIC,Non-Hispanic,Incorrect,obtained,0
HISPANIC,Non-Hispanic,Incorrect,s,0
HISPANIC,Non-Hispanic,Incorrect,please,0
HISPANIC,Non-Hispanic,Incorrect,describe,0
HISPANIC,Non-Hispanic,Incorrect,need,0
HISPANIC,Non-Hispanic,Incorrect,clinic,0
HISPANIC,Non-Hispanic,Incorrect,staff,0
HISPANIC,Non-Hispanic,Incorrect,can,0
HISPANIC,Non-Hispanic,Incorrect,best,0
HISPANIC,Non-Hispanic,Incorrect,help,0
HISPANIC,Non-Hispanic,Incorrect,mr,0
HISPANIC,Non-Hispanic,Incorrect,stated,0
HISPANIC,Non-Hispanic,Incorrect,taking,0
HISPANIC,Non-Hispanic,Incorrect,trulicity,0
HISPANIC,Non-Hispanic,Incorrect,expensive,0
HISPANIC,Non-Hispanic,Incorrect,stopped,0
